id,prediction
0,3.11523
1,3.11523
2,3.11523
3,63.09452
4,400.21175
5,974.02988
6,1993.07625
7,2558.81081
8,2905.81077
9,3153.7954
10,3082.04548
11,3299.14206
12,2796.85897
13,2700.501
14,2592.68968
15,1843.10734
16,1152.51633
17,604.22115
18,312.31186
19,16.00389
20,2.53479
21,2.53479
22,2.61991
23,3.00301
24,4.33145
25,4.33145
26,4.33145
27,157.07204
28,667.82348
29,1280.03357
30,1785.61333
31,2628.9228
32,3908.28511
33,4099.35093
34,4113.86294
35,4336.8768
36,3827.81291
37,3636.64022
38,3333.6718
39,2342.58826
40,1733.58513
41,844.29824
42,434.89139
43,81.97118
44,3.33636
45,3.33636
46,3.18584
47,0.05706
48,2.29932
49,3.2331
50,13.46898
51,266.39376
52,614.64204
53,1475.2779
54,2805.90461
55,3769.78845
56,4407.64762
57,4779.92741
58,4963.5983
59,4624.91396
60,4409.42897
61,3787.99395
62,3050.10354
63,2075.97642
64,1221.50524
65,675.20103
66,437.48681
67,141.34846
68,1.78131
69,2.11179
70,2.1969
71,2.49489
72,2.77536
73,3.32119
74,12.90362
75,188.13258
76,454.06027
77,1205.18081
78,2408.36501
79,3710.78202
80,4001.50874
81,3722.70746
82,3804.37921
83,3638.90829
84,3342.86099
85,3157.90425
86,3406.11099
87,2485.62824
88,1990.10587
89,765.66267
90,319.01883
91,160.04006
92,2.46724
93,2.41225
94,2.41225
95,2.79535
96,4.83236
97,3.92945
98,23.89
99,267.72963
100,529.37865
101,1165.19739
102,2889.90588
103,3515.12802
104,4500.6065
105,4254.52267
106,4755.09286
107,4938.89447
108,4907.29692
109,4034.26717
110,3585.04492
111,2856.03203
112,1878.89887
113,936.55966
114,480.41435
115,228.59248
116,4.29257
117,0.78213
118,0.78213
119,1.57884
120,2.6298
121,4.10941
122,36.28972
123,287.49044
124,761.38997
125,1596.16647
126,2802.07767
127,3763.75241
128,4050.97479
129,3817.80379
130,3801.38884
131,3606.9647
132,3230.33532
133,3354.62326
134,2957.58381
135,2406.19855
136,1482.15746
137,727.08412
138,469.92427
139,238.89319
140,4.33524
141,3.07124
142,3.07124
143,1.90932
144,4.10941
145,4.10941
146,47.91978
147,299.05684
148,767.20834
149,1649.97655
150,2865.78203
151,3766.43509
152,4212.84008
153,4527.95496
154,4184.91084
155,4203.67789
156,3696.00424
157,3349.25715
158,3105.5506
159,2153.3652
160,1484.182
161,909.22411
162,458.51015
163,231.90571
164,8.53699
165,2.05488
166,2.05488
167,2.05488
168,2.77536
169,2.77536
170,12.35779
171,45.92448
172,80.82227
173,222.67303
174,266.34245
175,347.39843
176,531.76818
177,612.40229
178,747.361
179,1132.81648
180,2174.13242
181,2626.4886
182,2081.4989
183,1843.73063
184,1177.00569
185,658.49038
186,349.0633
187,165.62854
188,11.63243
189,2.28004
190,2.61052
191,2.99362
192,2.77536
193,2.77536
194,68.17077
195,248.24728
196,414.52758
197,609.28648
198,1347.55959
199,2105.43939
200,1943.70458
201,2065.55324
202,2632.87535
203,2023.70268
204,2289.76543
205,2877.76029
206,2484.3545
207,1663.42182
208,677.83374
209,387.46216
210,251.56941
211,41.83864
212,0.73207
213,0.88145
214,0.88145
215,0.88145
216,3.84434
217,3.2985
218,10.71866
219,60.99365
220,136.19921
221,290.00371
222,659.09388
223,1045.31459
224,2519.02925
225,2188.88572
226,1525.94805
227,1589.14538
228,1131.67503
229,917.5263
230,709.97171
231,681.97401
232,553.62876
233,288.30565
234,148.53216
235,103.51356
236,0.04815
237,2.05488
238,2.05488
239,2.05488
240,2.77536
241,2.77536
242,16.75586
243,59.86921
244,211.55777
245,677.36666
246,1333.26426
247,2206.59336
248,2395.58622
249,1364.15821
250,1401.24118
251,1583.30654
252,1673.46393
253,2201.23479
254,2092.566
255,2130.21069
256,1467.09556
257,897.3922
258,537.15441
259,260.36376
260,48.27504
261,2.05488
262,2.05488
263,2.05488
264,3.32119
265,3.32119
266,93.60473
267,236.98083
268,391.02218
269,751.68776
270,1357.92713
271,1788.96695
272,2444.74997
273,2371.53251
274,2132.83184
275,2313.91136
276,2058.48189
277,1781.62143
278,1299.37008
279,1361.26021
280,847.34818
281,478.03029
282,242.88306
283,48.7025
284,4.6922
285,2.05488
286,0.88145
287,0.88145
288,3.66107
289,3.66107
290,121.41577
291,225.73492
292,396.04569
293,825.50702
294,1653.62717
295,2131.25962
296,2478.36338
297,3204.98491
298,3638.6928
299,3026.72843
300,2733.4469
301,2678.60715
302,2398.85555
303,1864.0665
304,951.27587
305,725.54488
306,378.95165
307,227.61586
308,66.48854
309,2.94058
310,2.94058
311,2.94058
312,3.66107
313,3.66107
314,57.17529
315,257.1259
316,475.22311
317,981.91314
318,1528.2568
319,1994.04659
320,2852.94114
321,3552.28247
322,3350.82845
323,2881.51493
324,2667.5242
325,2088.94395
326,1397.66031
327,932.48309
328,731.49261
329,409.4751
330,169.91335
331,61.72041
332,18.60706
333,2.94058
334,2.94058
335,2.94058
336,3.66107
337,3.66107
338,17.52867
339,45.46054
340,218.93431
341,592.48598
342,834.81663
343,1023.48388
344,1466.93649
345,2010.597
346,1911.44155
347,2086.51498
348,2005.37606
349,2062.6229
350,1867.50463
351,1503.92959
352,954.44258
353,544.22202
354,262.89959
355,182.35705
356,38.19244
357,2.94058
358,2.94058
359,2.94058
360,3.66107
361,3.66107
362,36.71948
363,169.73517
364,337.79988
365,586.02236
366,882.56046
367,1361.17847
368,2214.06035
369,2680.07303
370,2517.38092
371,2609.001
372,2754.24034
373,2366.59123
374,1503.83148
375,1462.25141
376,939.14724
377,732.70227
378,448.50271
379,164.46946
380,19.7397
381,2.94058
382,2.94058
383,2.94058
384,3.17736
385,3.17736
386,30.57713
387,68.3763
388,239.65808
389,576.69345
390,640.45812
391,884.39941
392,1118.99813
393,1369.87845
394,1744.12644
395,1966.85033
396,2151.99309
397,2466.41344
398,2059.59334
399,1254.82711
400,907.74027
401,774.23571
402,513.6318
403,339.23808
404,87.67604
405,3.22787
406,3.22787
407,3.61097
408,4.12306
409,3.82404
410,173.89103
411,395.17906
412,924.06512
413,2042.16353
414,3211.66235
415,4287.09447
416,4723.26304
417,5061.02156
418,4963.13348
419,4957.85083
420,4826.79842
421,4201.5288
422,3851.94039
423,3101.97139
424,2143.98546
425,1294.64092
426,621.52821
427,355.11402
428,100.47063
429,2.1969
430,2.1969
431,2.24952
432,3.70945
433,5.97148
434,183.01551
435,377.82498
436,740.56409
437,1522.05968
438,2416.32651
439,3155.1093
440,3891.99876
441,4493.77231
442,4088.56165
443,3070.90716
444,1754.45043
445,1359.50039
446,1139.30916
447,1385.50926
448,1351.43878
449,697.38216
450,307.53637
451,145.12169
452,63.8348
453,2.60586
454,2.60586
455,2.44313
456,3.43072
457,2.18048
458,55.42756
459,182.06178
460,344.3647
461,751.71663
462,2294.36756
463,3372.6209
464,3799.00016
465,3937.79399
466,4012.3533
467,4501.65322
468,4535.45176
469,4070.32544
470,3510.35195
471,2970.70279
472,2023.15422
473,1243.5377
474,613.76999
475,366.45806
476,136.03614
477,2.38071
478,2.38071
479,2.90385
480,0.53819
481,0.0
482,157.87175
483,423.68138
484,862.94413
485,1613.95137
486,2730.90853
487,3812.56594
488,4414.49111
489,4820.19273
490,4852.44611
491,4895.80756
492,4673.22888
493,4142.86914
494,3805.60129
495,2995.97116
496,2017.73931
497,1361.9839
498,656.75139
499,378.20063
500,146.07964
501,2.51758
502,2.51758
503,2.51758
504,0.0
505,0.0
506,165.13473
507,386.43307
508,789.89582
509,1636.2202
510,2361.50379
511,3772.02129
512,4529.30501
513,4896.97181
514,4840.00986
515,3782.42692
516,3189.28605
517,3544.7821
518,2364.46174
519,1816.11677
520,1428.49806
521,823.34789
522,430.29925
523,263.47398
524,134.76551
525,14.34915
526,0.0
527,0.0
528,16.96187
529,14.80872
530,36.68858
531,129.16196
532,280.88594
533,678.74207
534,758.86609
535,1562.32731
536,1146.71858
537,557.51541
538,911.40276
539,3197.82022
540,3527.57045
541,3539.29886
542,3370.90096
543,3015.82345
544,1874.9975
545,1177.91115
546,629.01166
547,361.05758
548,126.79535
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,17.64463
555,158.08742
556,186.58527
557,263.77559
558,362.20068
559,669.01397
560,1342.8788
561,1313.59304
562,1044.72501
563,924.4297
564,1042.47015
565,1418.28314
566,1822.21323
567,2404.52737
568,1711.09229
569,853.29775
570,521.3432
571,338.1819
572,100.53805
573,0.0
574,0.0
575,0.0
