time,index,pv_measurement,location_A,location_B,location_C
2019-01-01 00:00:00,1,0.0,0,1,0
2019-01-01 01:00:00,2,0.0,0,1,0
2019-01-01 02:00:00,3,0.0,0,1,0
2019-01-01 03:00:00,4,0.0,0,1,0
2019-01-01 04:00:00,5,0.0,0,1,0
2019-01-01 05:00:00,6,0.0,0,1,0
2019-01-01 06:00:00,7,0.0,0,1,0
2019-01-01 07:00:00,8,0.0,0,1,0
2019-01-01 08:00:00,9,0.0,0,1,0
2019-01-01 09:00:00,10,0.0,0,1,0
2019-01-01 10:00:00,11,0.8625,0,1,0
2019-01-01 11:00:00,12,10.35,0,1,0
2019-01-01 12:00:00,13,5.175,0,1,0
2019-01-01 13:00:00,14,0.8625,0,1,0
2019-01-01 14:00:00,15,0.0,0,1,0
2019-01-01 15:00:00,16,0.0,0,1,0
2019-01-01 16:00:00,17,0.0,0,1,0
2019-01-01 17:00:00,18,0.0,0,1,0
2019-01-01 18:00:00,19,0.0,0,1,0
2019-01-01 19:00:00,20,0.0,0,1,0
2019-01-01 20:00:00,21,0.0,0,1,0
2019-01-01 21:00:00,22,0.0,0,1,0
2019-01-01 22:00:00,23,0.0,0,1,0
2019-01-01 23:00:00,24,0.0,0,1,0
2019-01-02 00:00:00,25,0.0,0,1,0
2019-01-02 01:00:00,26,0.0,0,1,0
2019-01-02 02:00:00,27,0.0,0,1,0
2019-01-02 03:00:00,28,0.0,0,1,0
2019-01-02 04:00:00,29,0.0,0,1,0
2019-01-02 05:00:00,30,0.0,0,1,0
2019-01-02 06:00:00,31,0.0,0,1,0
2019-01-02 07:00:00,32,0.0,0,1,0
2019-01-02 08:00:00,33,0.0,0,1,0
2019-01-02 09:00:00,34,0.0,0,1,0
2019-01-02 10:00:00,35,3.45,0,1,0
2019-01-02 11:00:00,36,5.175,0,1,0
2019-01-02 12:00:00,37,0.8625,0,1,0
2019-01-02 13:00:00,38,0.0,0,1,0
2019-01-02 14:00:00,39,0.0,0,1,0
2019-01-02 15:00:00,40,0.0,0,1,0
2019-01-02 16:00:00,41,0.0,0,1,0
2019-01-02 17:00:00,42,0.0,0,1,0
2019-01-02 18:00:00,43,0.0,0,1,0
2019-01-02 19:00:00,44,0.0,0,1,0
2019-01-02 20:00:00,45,0.0,0,1,0
2019-01-02 21:00:00,46,0.0,0,1,0
2019-01-02 22:00:00,47,0.0,0,1,0
2019-01-02 23:00:00,48,0.0,0,1,0
2019-01-03 00:00:00,49,0.0,0,1,0
2019-01-03 01:00:00,50,0.0,0,1,0
2019-01-03 02:00:00,51,0.0,0,1,0
2019-01-03 03:00:00,52,0.0,0,1,0
2019-01-03 04:00:00,53,0.0,0,1,0
2019-01-03 05:00:00,54,0.0,0,1,0
2019-01-03 06:00:00,55,0.0,0,1,0
2019-01-03 07:00:00,56,0.0,0,1,0
2019-01-03 08:00:00,57,0.0,0,1,0
2019-01-03 09:00:00,58,0.0,0,1,0
2019-01-03 10:00:00,59,7.7625,0,1,0
2019-01-03 11:00:00,60,3.45,0,1,0
2019-01-03 12:00:00,61,0.0,0,1,0
2019-01-03 13:00:00,62,0.0,0,1,0
2019-01-03 14:00:00,63,0.0,0,1,0
2019-01-03 15:00:00,64,0.0,0,1,0
2019-01-03 16:00:00,65,0.0,0,1,0
2019-01-03 17:00:00,66,0.0,0,1,0
2019-01-03 18:00:00,67,0.0,0,1,0
2019-01-03 19:00:00,68,0.0,0,1,0
2019-01-03 20:00:00,69,0.0,0,1,0
2019-01-03 21:00:00,70,0.0,0,1,0
2019-01-03 22:00:00,71,0.0,0,1,0
2019-01-03 23:00:00,72,0.0,0,1,0
2019-01-04 00:00:00,73,0.0,0,1,0
2019-01-04 01:00:00,74,0.0,0,1,0
2019-01-04 02:00:00,75,0.0,0,1,0
2019-01-04 03:00:00,76,0.0,0,1,0
2019-01-04 04:00:00,77,0.0,0,1,0
2019-01-04 05:00:00,78,0.0,0,1,0
2019-01-04 06:00:00,79,0.0,0,1,0
2019-01-04 07:00:00,80,0.0,0,1,0
2019-01-04 08:00:00,81,0.0,0,1,0
2019-01-04 09:00:00,82,0.0,0,1,0
2019-01-04 10:00:00,83,0.0,0,1,0
2019-01-04 11:00:00,84,5.175,0,1,0
2019-01-04 12:00:00,85,7.7625,0,1,0
2019-01-04 13:00:00,86,0.0,0,1,0
2019-01-04 14:00:00,87,0.0,0,1,0
2019-01-04 15:00:00,88,0.0,0,1,0
2019-01-04 16:00:00,89,0.0,0,1,0
2019-01-04 17:00:00,90,0.0,0,1,0
2019-01-04 18:00:00,91,0.0,0,1,0
2019-01-04 19:00:00,92,0.0,0,1,0
2019-01-04 20:00:00,93,0.0,0,1,0
2019-01-04 21:00:00,94,0.0,0,1,0
2019-01-04 22:00:00,95,0.0,0,1,0
2019-01-04 23:00:00,96,0.0,0,1,0
2019-01-05 00:00:00,97,0.0,0,1,0
2019-01-05 01:00:00,98,0.0,0,1,0
2019-01-05 02:00:00,99,0.0,0,1,0
2019-01-05 03:00:00,100,0.0,0,1,0
2019-01-05 04:00:00,101,0.0,0,1,0
2019-01-05 05:00:00,102,0.0,0,1,0
2019-01-05 06:00:00,103,0.0,0,1,0
2019-01-05 07:00:00,104,0.0,0,1,0
2019-01-05 08:00:00,105,0.0,0,1,0
2019-01-05 09:00:00,106,5.175,0,1,0
2019-01-05 10:00:00,107,11.2125,0,1,0
2019-01-05 11:00:00,108,10.35,0,1,0
2019-01-05 12:00:00,109,12.075,0,1,0
2019-01-05 13:00:00,110,0.0,0,1,0
2019-01-05 14:00:00,111,0.0,0,1,0
2019-01-05 15:00:00,112,0.0,0,1,0
2019-01-05 16:00:00,113,0.0,0,1,0
2019-01-05 17:00:00,114,0.0,0,1,0
2019-01-05 18:00:00,115,0.0,0,1,0
2019-01-05 19:00:00,116,0.0,0,1,0
2019-01-05 20:00:00,117,0.0,0,1,0
2019-01-05 21:00:00,118,0.0,0,1,0
2019-01-05 22:00:00,119,0.0,0,1,0
2019-01-05 23:00:00,120,0.0,0,1,0
2019-01-06 00:00:00,121,0.0,0,1,0
2019-01-06 01:00:00,122,0.0,0,1,0
2019-01-06 02:00:00,123,0.0,0,1,0
2019-01-06 03:00:00,124,0.0,0,1,0
2019-01-06 04:00:00,125,0.0,0,1,0
2019-01-06 05:00:00,126,0.0,0,1,0
2019-01-06 06:00:00,127,0.0,0,1,0
2019-01-06 07:00:00,128,0.0,0,1,0
2019-01-06 08:00:00,129,0.0,0,1,0
2019-01-06 09:00:00,130,0.0,0,1,0
2019-01-06 10:00:00,131,0.0,0,1,0
2019-01-06 11:00:00,132,1.725,0,1,0
2019-01-06 12:00:00,133,0.0,0,1,0
2019-01-06 13:00:00,134,0.0,0,1,0
2019-01-06 14:00:00,135,0.0,0,1,0
2019-01-06 15:00:00,136,0.0,0,1,0
2019-01-06 16:00:00,137,0.0,0,1,0
2019-01-06 17:00:00,138,0.0,0,1,0
2019-01-06 18:00:00,139,0.0,0,1,0
2019-01-06 19:00:00,140,0.0,0,1,0
2019-01-06 20:00:00,141,0.0,0,1,0
2019-01-06 21:00:00,142,0.0,0,1,0
2019-01-06 22:00:00,143,0.0,0,1,0
2019-01-06 23:00:00,144,0.0,0,1,0
2019-01-07 00:00:00,145,0.0,0,1,0
2019-01-07 01:00:00,146,0.0,0,1,0
2019-01-07 02:00:00,147,0.0,0,1,0
2019-01-07 03:00:00,148,0.0,0,1,0
2019-01-07 04:00:00,149,0.0,0,1,0
2019-01-07 05:00:00,150,0.0,0,1,0
2019-01-07 06:00:00,151,0.0,0,1,0
2019-01-07 07:00:00,152,0.0,0,1,0
2019-01-07 08:00:00,153,0.0,0,1,0
2019-01-07 09:00:00,154,1.725,0,1,0
2019-01-07 10:00:00,155,12.075,0,1,0
2019-01-07 11:00:00,156,20.7,0,1,0
2019-01-07 12:00:00,157,6.0375,0,1,0
2019-01-07 13:00:00,158,0.0,0,1,0
2019-01-07 14:00:00,159,0.0,0,1,0
2019-01-07 15:00:00,160,0.0,0,1,0
2019-01-07 16:00:00,161,0.0,0,1,0
2019-01-07 17:00:00,162,0.0,0,1,0
2019-01-07 18:00:00,163,0.0,0,1,0
2019-01-07 19:00:00,164,0.0,0,1,0
2019-01-07 20:00:00,165,0.0,0,1,0
