pv_measurement,time_year,time_month,time_day,time_hour
0.0,2019,6,2,22
0.0,2019,6,2,23
0.0,2019,6,3,0
0.0,2019,6,3,1
19.36,2019,6,3,2
251.02,2019,6,3,3
263.78000000000003,2019,6,3,4
522.72,2019,6,3,5
904.42,2019,6,3,6
1238.8200000000002,2019,6,3,7
2189.8799999999997,2019,6,3,8
3047.2200000000003,2019,6,3,9
2163.26,2019,6,3,10
2686.64,2019,6,3,11
3175.92,2019,6,3,12
2730.86,2019,6,3,13
2093.96,2019,6,3,14
2774.2,2019,6,3,15
1833.48,2019,6,3,16
1057.54,2019,6,3,17
340.12,2019,6,3,18
48.4,2019,6,3,19
12.540000000000001,2019,6,3,20
0.0,2019,6,3,21
0.0,2019,6,3,22
0.0,2019,6,3,23
0.0,2019,6,4,0
6.38,2019,6,4,1
117.04,2019,6,4,2
305.58,2019,6,4,3
805.42,2019,6,4,4
1556.94,2019,6,4,5
2812.04,2019,6,4,6
2807.6400000000003,2019,6,4,7
4561.26,2019,6,4,8
4812.06,2019,6,4,9
4766.52,2019,6,4,10
4339.719999999999,2019,6,4,11
2464.0,2019,6,4,12
2361.0400000000004,2019,6,4,13
1921.92,2019,6,4,14
1918.1799999999998,2019,6,4,15
681.34,2019,6,4,16
226.38,2019,6,4,17
235.84,2019,6,4,18
220.21999999999997,2019,6,4,19
38.94,2019,6,4,20
0.0,2019,6,4,21
0.0,2019,6,4,22
0.0,2019,6,4,23
0.0,2019,6,5,0
10.780000000000001,2019,6,5,1
104.28,2019,6,5,2
284.24,2019,6,5,3
807.84,2019,6,5,4
1336.28,2019,6,5,5
1399.4199999999998,2019,6,5,6
1189.76,2019,6,5,7
1719.74,2019,6,5,8
1232.44,2019,6,5,9
1139.6,2019,6,5,10
972.1800000000001,2019,6,5,11
1572.56,2019,6,5,12
3044.8,2019,6,5,13
2132.02,2019,6,5,14
1995.4,2019,6,5,15
343.42,2019,6,5,16
0.0,2019,6,5,17
0.0,2019,6,5,18
0.0,2019,6,5,19
0.0,2019,6,5,20
0.0,2019,6,5,21
0.0,2019,6,5,22
0.0,2019,6,5,23
0.0,2019,6,6,0
0.0,2019,6,6,1
0.0,2019,6,6,2
0.0,2019,6,6,3
0.0,2019,6,6,4
0.0,2019,6,6,5
0.0,2019,6,6,6
0.0,2019,6,6,7
0.0,2019,6,6,8
0.0,2019,6,6,9
0.0,2019,6,6,10
0.0,2019,6,6,11
0.0,2019,6,6,12
0.0,2019,6,6,13
102.51999999999998,2019,6,6,14
209.44,2019,6,6,15
989.7800000000001,2019,6,6,16
317.02000000000004,2019,6,6,17
370.26,2019,6,6,18
130.68,2019,6,6,19
67.76,2019,6,6,20
0.0,2019,6,6,21
0.0,2019,6,6,22
0.0,2019,6,6,23
0.0,2019,6,7,0
2.42,2019,6,7,1
18.48,2019,6,7,2
40.48,2019,6,7,3
423.28,2019,6,7,4
514.8,2019,6,7,5
398.64,2019,6,7,6
2736.58,2019,6,7,7
1704.78,2019,6,7,8
514.58,2019,6,7,9
234.29999999999998,2019,6,7,10
320.98,2019,6,7,11
423.94,2019,6,7,12
317.46000000000004,2019,6,7,13
606.3199999999999,2019,6,7,14
610.94,2019,6,7,15
285.12,2019,6,7,16
229.89999999999998,2019,6,7,17
134.42,2019,6,7,18
24.86,2019,6,7,19
2.42,2019,6,7,20
0.0,2019,6,7,21
0.0,2019,6,7,22
0.0,2019,6,7,23
0.0,2019,6,8,0
4.619999999999998,2019,6,8,1
98.78,2019,6,8,2
267.52,2019,6,8,3
735.9000000000001,2019,6,8,4
777.7,2019,6,8,5
1061.94,2019,6,8,6
1546.82,2019,6,8,7
2673.22,2019,6,8,8
3450.7000000000003,2019,6,8,9
3406.92,2019,6,8,10
4500.76,2019,6,8,11
4457.860000000001,2019,6,8,12
4289.34,2019,6,8,13
3734.7200000000007,2019,6,8,14
3025.88,2019,6,8,15
2159.96,2019,6,8,16
1168.64,2019,6,8,17
317.46000000000004,2019,6,8,18
110.44,2019,6,8,19
3.74,2019,6,8,20
0.0,2019,6,8,21
0.0,2019,6,8,22
0.0,2019,6,8,23
0.0,2019,6,9,0
2.64,2019,6,9,1
8.36,2019,6,9,2
119.45999999999998,2019,6,9,3
310.64,2019,6,9,4
759.0,2019,6,9,5
2524.28,2019,6,9,6
3895.54,2019,6,9,7
4775.099999999999,2019,6,9,8
4977.28,2019,6,9,9
4952.64,2019,6,9,10
2705.34,2019,6,9,11
2513.5,2019,6,9,12
2599.96,2019,6,9,13
1975.82,2019,6,9,14
761.86,2019,6,9,15
317.90000000000003,2019,6,9,16
104.5,2019,6,9,17
192.5,2019,6,9,18
82.06,2019,6,9,19
7.920000000000001,2019,6,9,20
0.0,2019,6,9,21
0.0,2019,6,9,22
0.0,2019,6,9,23
0.0,2019,6,10,0
0.0,2019,6,10,1
9.02,2019,6,10,2
71.28,2019,6,10,3
216.91999999999996,2019,6,10,4
413.38,2019,6,10,5
631.62,2019,6,10,6
1293.16,2019,6,10,7
937.4200000000001,2019,6,10,8
1591.26,2019,6,10,9
2533.74,2019,6,10,10
3826.0200000000004,2019,6,10,11
1673.32,2019,6,10,12
575.3000000000001,2019,6,10,13
470.8,2019,6,10,14
687.28,2019,6,10,15
601.6999999999999,2019,6,10,16
911.02,2019,6,10,17
301.84000000000003,2019,6,10,18
163.24,2019,6,10,19
25.740000000000002,2019,6,10,20
0.0,2019,6,10,21
0.0,2019,6,10,22
0.0,2019,6,10,23
0.0,2019,6,11,0
18.48,2019,6,11,1
132.88,2019,6,11,2
298.98,2019,6,11,3
850.3000000000001,2019,6,11,4
1175.8999999999999,2019,6,11,5
2991.12,2019,6,11,6
3999.600000000001,2019,6,11,7
4693.7,2019,6,11,8
5103.56,2019,6,11,9
5018.64,2019,6,11,10
4317.72,2019,6,11,11
4732.200000000001,2019,6,11,12
4367.4400000000005,2019,6,11,13
3845.82,2019,6,11,14
3115.6400000000003,2019,6,11,15
2298.12,2019,6,11,16
1372.3600000000001,2019,6,11,17
604.12,2019,6,11,18
360.14,2019,6,11,19
146.74,2019,6,11,20
13.86,2019,6,11,21
0.0,2019,6,11,22
