pv_measurement,time_year,time_month,time_day,time_hour
137.20000000000002,2019,9,4,8
0.0,2019,9,4,9
0.0,2019,9,4,10
0.0,2019,9,4,11
0.0,2019,9,4,12
0.0,2019,9,4,13
0.0,2019,9,4,14
0.0,2019,9,4,15
0.0,2019,9,4,16
0.0,2019,9,4,17
0.0,2019,9,4,18
0.0,2019,9,4,19
0.0,2019,9,4,20
0.0,2019,9,4,21
0.0,2019,9,4,22
0.0,2019,9,4,23
0.0,2019,9,5,0
0.0,2019,9,5,1
0.0,2019,9,5,2
0.0,2019,9,5,3
0.0,2019,9,5,4
0.0,2019,9,5,5
0.0,2019,9,5,6
0.0,2019,9,5,7
0.0,2019,9,5,8
0.0,2019,9,5,9
0.0,2019,9,5,10
0.0,2019,9,5,11
0.0,2019,9,5,12
98.0,2019,9,5,13
117.60000000000001,2019,9,5,14
166.60000000000002,2019,9,5,15
88.2,2019,9,5,16
49.0,2019,9,5,17
0.0,2019,9,5,18
0.0,2019,9,5,19
0.0,2019,9,5,20
0.0,2019,9,5,21
0.0,2019,9,5,22
0.0,2019,9,5,23
0.0,2019,9,6,0
0.0,2019,9,6,1
0.0,2019,9,6,2
0.0,2019,9,6,3
0.0,2019,9,6,4
58.800000000000004,2019,9,6,5
196.0,2019,9,6,6
254.8,2019,9,6,7
411.6,2019,9,6,8
646.8000000000001,2019,9,6,9
695.8000000000001,2019,9,6,10
617.4000000000001,2019,9,6,11
392.0,2019,9,6,12
264.6,2019,9,6,13
147.0,2019,9,6,14
88.2,2019,9,6,15
58.800000000000004,2019,9,6,16
19.6,2019,9,6,17
0.0,2019,9,6,18
0.0,2019,9,6,19
0.0,2019,9,6,20
0.0,2019,9,6,21
0.0,2019,9,6,22
0.0,2019,9,6,23
0.0,2019,9,7,0
0.0,2019,9,7,1
0.0,2019,9,7,2
0.0,2019,9,7,3
0.0,2019,9,7,4
39.2,2019,9,7,5
117.60000000000001,2019,9,7,6
225.4,2019,9,7,7
323.40000000000003,2019,9,7,8
392.0,2019,9,7,9
480.20000000000005,2019,9,7,10
686.0,2019,9,7,11
499.8,2019,9,7,12
450.8,2019,9,7,13
323.40000000000003,2019,9,7,14
196.0,2019,9,7,15
78.4,2019,9,7,16
39.2,2019,9,7,17
0.0,2019,9,7,18
0.0,2019,9,7,19
0.0,2019,9,7,20
0.0,2019,9,7,21
0.0,2019,9,7,22
0.0,2019,9,7,23
0.0,2019,9,8,0
0.0,2019,9,8,1
0.0,2019,9,8,2
0.0,2019,9,8,3
9.8,2019,9,8,4
49.0,2019,9,8,5
196.0,2019,9,8,6
343.0,2019,9,8,7
509.6,2019,9,8,8
617.4000000000001,2019,9,8,9
656.6,2019,9,8,10
666.4000000000001,2019,9,8,11
627.2,2019,9,8,12
519.4000000000001,2019,9,8,13
382.20000000000005,2019,9,8,14
225.4,2019,9,8,15
127.4,2019,9,8,16
29.400000000000002,2019,9,8,17
0.0,2019,9,8,18
0.0,2019,9,8,19
0.0,2019,9,8,20
0.0,2019,9,8,21
0.0,2019,9,8,22
0.0,2019,9,8,23
0.0,2019,9,9,0
0.0,2019,9,9,1
0.0,2019,9,9,2
0.0,2019,9,9,3
0.0,2019,9,9,4
49.0,2019,9,9,5
176.4,2019,9,9,6
313.6,2019,9,9,7
470.40000000000003,2019,9,9,8
529.2,2019,9,9,9
539.0,2019,9,9,10
607.6,2019,9,9,11
578.2,2019,9,9,12
499.8,2019,9,9,13
254.8,2019,9,9,14
176.4,2019,9,9,15
68.60000000000001,2019,9,9,16
9.8,2019,9,9,17
0.0,2019,9,9,18
0.0,2019,9,9,19
0.0,2019,9,9,20
0.0,2019,9,9,21
0.0,2019,9,9,22
0.0,2019,9,9,23
0.0,2019,9,10,0
0.0,2019,9,10,1
0.0,2019,9,10,2
0.0,2019,9,10,3
0.0,2019,9,10,4
49.0,2019,9,10,5
98.0,2019,9,10,6
107.80000000000001,2019,9,10,7
176.4,2019,9,10,8
274.40000000000003,2019,9,10,9
284.20000000000005,2019,9,10,10
519.4000000000001,2019,9,10,11
431.20000000000005,2019,9,10,12
205.8,2019,9,10,13
88.2,2019,9,10,14
58.800000000000004,2019,9,10,15
39.2,2019,9,10,16
9.8,2019,9,10,17
0.0,2019,9,10,18
0.0,2019,9,10,19
0.0,2019,9,10,20
0.0,2019,9,10,21
0.0,2019,9,10,22
0.0,2019,9,10,23
0.0,2019,9,11,0
0.0,2019,9,11,1
0.0,2019,9,11,2
0.0,2019,9,11,3
0.0,2019,9,11,4
68.60000000000001,2019,9,11,5
186.20000000000002,2019,9,11,6
254.8,2019,9,11,7
313.6,2019,9,11,8
294.0,2019,9,11,9
274.40000000000003,2019,9,11,10
166.60000000000002,2019,9,11,11
156.8,2019,9,11,12
147.0,2019,9,11,13
58.800000000000004,2019,9,11,14
107.80000000000001,2019,9,11,15
78.4,2019,9,11,16
19.6,2019,9,11,17
